EntityName,EntityTypeName,lat,lon
Lægerne Bølgen                                              ,General Practitoner,56.9516256111869,8.69476601173173
Lægerne Vinther og Jespersen                                ,General Practitoner,56.9516591171656,8.69487529749008
"Aalborg Universitetshospital, Thisted                       ",Hospital,56.9570087035117,8.69593491095487
Vorgod Lægehus                                              ,General Practitoner,56.0914413521065,8.70369500628864
alles Lægehus Thisted                                       ,General Practitoner,56.9590578422261,8.6988083020713
Lægerne Bjerre og Jacobsen                                  ,General Practitoner,56.8328970339569,8.71808835114165
alles Lægehus Øster Jølby                                   ,General Practitoner,56.8328978441715,8.71844742889861
Øens lægehus                                                ,General Practitoner,56.8344905362528,8.72803491210444
"Lægehuset, Ansager                                          ",General Practitoner,55.703491034657,8.75398255299475
Lægehuset Rømø/Skærbæk                                      ,General Practitoner,55.1580727425015,8.76045542630552
Skærbæk Lægehus                                             ,General Practitoner,55.1580727425925,8.76045547260374
Lægerne I Vildbjerg                                         ,General Practitoner,56.192508401773,8.76005735808638
Lægerne Nyholm og Albertsen                                 ,General Practitoner,56.1925144486506,8.76007134369541
Ribe Apotek                                                 ,Pharmacy,55.3313627388589,8.76860813785741
Anne Hedegaard Leth                                         ,General Practitoner,55.3302013413635,8.76948374454374
Helle Klint                                                 ,General Practitoner,55.3302013414007,8.76948376424658
Gunhild Pontoppidan F√∂h                                     ,General Practitoner,55.3302013414155,8.76948377212772
Bente K. Bertelsen                                          ,General Practitoner,55.3302013414304,8.76948378000885
Marie Lilbæk                                                ,General Practitoner,55.3302013414914,8.76948381232151
Blazej Grycel                                               ,General Practitoner,55.3302013415152,8.76948382493132
Ulrik Fassel                                                ,General Practitoner,55.3302013415464,8.7694838414817
Vildbjerg Apotek                                            ,Pharmacy,56.2008035963482,8.76759635293711
Lægeklinikken Tangevej                                      ,General Practitoner,55.3272355653894,8.77706036232877
alles Lægehus Ribe                                          ,General Practitoner,55.3270096955576,8.77796915995497
Almen Lægeklinik Sønder Felding                             ,General Practitoner,55.9414333184828,8.78241905837698
Lægehuset Vinderup                                          ,General Practitoner,56.4758167446253,8.78301389649481
Lægehuset i Agerbæk v/Læge Lene Mikkelsen                   ,General Practitoner,55.6001376539575,8.79585724680149
Lægehuset Agerbæk                                           ,General Practitoner,55.6001376540024,8.79585727378107
Lægehuset i Agerbæk v/Eva Dahl Lauridsen                    ,General Practitoner,55.6001376540117,8.79585727933569
Lægehuset                                                   ,General Practitoner,56.2678426994272,8.79484414364834
Lægerne i Gørding                                           ,General Practitoner,55.4691961305475,8.80425819716098
Lægerne Bredebro                                            ,General Practitoner,55.0588363758846,8.82304461533103
Saxhøj Lægeklinik v. Ole Lund                               ,General Practitoner,56.781253431758,8.83522927734607
Tønder Løve Apotek                                          ,Pharmacy,54.9394851093412,8.85519337696373
Lægehuset i Kibæk                                           ,General Practitoner,56.0278224104454,8.85251539494987
Lægerne Skibbroen 13 A                                      ,General Practitoner,54.9335216839857,8.86620209041967
Nykøbing Mors Sct. Clemens Apotek                           ,Pharmacy,56.7957184217667,8.86096928513721
Læge Dorothee Paul                                          ,General Practitoner,54.939760964557,8.86861640583827
Lægehuset Strandparken                                      ,General Practitoner,56.8080054192998,8.86796796848018
Læge  Stefanie  Nolting                                     ,General Practitoner,56.8079563806201,8.86849059914277
Tønder Lægehus Nord                                         ,General Practitoner,54.9407625294744,8.87572745637742
Alles Lægehus Tønder                                        ,General Practitoner,54.9407625295989,8.87572757813277
Balling Lægeklinik                                          ,General Practitoner,56.610979723577,8.88267116779044
Regionshospitalet Gødstrup                                  ,Hospital,56.1570085647828,8.8905018775702
Læghuset Sønder Omme                                        ,General Practitoner,55.8399368085521,8.89801427873095
Lægehuset Holsted                                           ,General Practitoner,55.4970271924752,8.91432862044965
Grindsted Lægehus                                           ,General Practitoner,55.7581247810875,8.92318246570586
Læge Jette Solevad                                          ,General Practitoner,55.7581247810945,8.92318247686003
Lægehuset Nørretorv                                         ,General Practitoner,55.7585433488397,8.92616766694391
Friklinikken Region Syddanmark (Grindsted)                  ,Hospital,55.755020548956,8.92825576475718
Central Lægepraksis I/S                                     ,General Practitoner,55.7569146401442,8.929165854601
Grindsted Apotek                                            ,Pharmacy,55.7562608164274,8.93112800589882
Lægerne i Løgumkloster                                      ,General Practitoner,55.0548415067082,8.95668530077711
Herning Løve Apotek                                         ,Pharmacy,56.1361073507267,8.96986073776149
Lægerne Dalgasgade                                          ,General Practitoner,56.1340951920626,8.97165532965124
"Lægerne Skafsgaard, Mukai og Schmidt                        ",General Practitoner,56.1351105076439,8.97303434181904
Centrumlægerne Herning                                      ,General Practitoner,56.1361210222932,8.97387190604965
Bredgade Lægeklinik                                         ,General Practitoner,56.1361210222956,8.97387191731301
Lægerne Rådhusgården                                        ,General Practitoner,56.1363643240577,8.97427565409138
Lægerne i Hammerum                                          ,General Practitoner,56.1365764440191,8.97555486493561
Herning Østergades Apotek                                   ,Pharmacy,56.1363481416957,8.97601358405088
"Lægerne Nørregade 10, 2. sal                                ",General Practitoner,56.1368381868316,8.97803898829808
"Lægerne Nørregade 10, 1.                                    ",General Practitoner,56.1368381868326,8.97803899392986
Lægerne Kousgaards Plads                                    ,General Practitoner,56.1368381868372,8.97803901967517
Lægerne i Lind                                              ,General Practitoner,56.110665080908,8.97936664547442
Lægehuset i Roslev                                          ,General Practitoner,56.6996167308528,8.9795163140317
Citylægerne                                                 ,General Practitoner,56.1321804112293,8.98537152865766
Lægerne Poulsgade                                           ,General Practitoner,56.1321804112316,8.9853715479643
Regionsklinik Frøstrup 2                                    ,General Practitoner,57.0843788737514,8.99323717939557
Lægerne  i  Sunds                                           ,General Practitoner,56.206033256842,9.0122966858366
Brørup Lægehus                                              ,General Practitoner,55.4802718956765,9.02237727584253
Skive Løve Apotek                                           ,Pharmacy,56.5653282147366,9.02639601702104
Adelgade Lægeklinik                                         ,General Practitoner,56.5672193851012,9.02675290348698
Jannik Kruse Nielsen                                        ,General Practitoner,56.5672193850926,9.02675294335597
Centrumlægerne Skive                                        ,General Practitoner,56.5655976357614,9.02728731475036
Lægerne Nørreport                                           ,General Practitoner,56.5696226372758,9.02836768725541
Lægehuset i Skive                                           ,General Practitoner,56.5697215347221,9.02844489901992
Lægerne Limfjorden I/S                                      ,General Practitoner,56.564441591621,9.02912501746894
Lægerne Eithz og Væsel                                      ,General Practitoner,56.5644415916182,9.02912502967283
Læge Lisbeth Falkenberg                                     ,General Practitoner,56.5729343547527,9.02954820464055
Læge Dorte Landbo                                           ,General Practitoner,56.5729343547481,9.02954822417116
Lægeklinikken Bent Larsen                                   ,General Practitoner,56.5729343547452,9.02954823637778
Alles Lægehus Fursund                                       ,General Practitoner,56.7984852823561,9.03020786386565
Skive Svane Apotek                                          ,Pharmacy,56.5637463376051,9.03014225902658
Lægerne Østerbro                                            ,General Practitoner,56.5649929795514,9.03362532807729
"Lægerne Hoeg, Lind, Østergaard-Nielsen                      ",General Practitoner,55.2893470963498,9.05656399236771
Lægehuset i Gram                                            ,General Practitoner,55.2893470963341,9.05656402622203
Lægerne Toftlund                                            ,General Practitoner,55.1908328734636,9.05860404500561
Rødding Apotek                                              ,Pharmacy,55.3690024773908,9.05956521122719
Rødding Lægehus                                             ,General Practitoner,55.3691306522381,9.06076972613068
Toftlund Apotek                                             ,Pharmacy,55.1925016769438,9.06382152964748
Vorbasse lægehus                                            ,General Practitoner,55.6337953546694,9.07943754110691
Alles Lægehus Bylderup-Bov                                  ,General Practitoner,54.9378815462111,9.08079033901791
Billund Lægeklinik                                          ,General Practitoner,55.7338114013366,9.10952295082962
Lægerne i Højslev                                           ,General Practitoner,56.548304076049,9.11435394698408
Brande Lægeklinik                                           ,General Practitoner,55.9466674510521,9.11950877297837
Lægehuset Afdeling Vest Brande                              ,General Practitoner,55.9466674510459,9.1195087793831
Lægerne Kløvervej 10                                        ,General Practitoner,55.7231248828326,9.12080442787206
Albak                                                       ,General Practitoner,55.7306172590891,9.12104855874117
Alment Praktiserende Læge Birthe Nørby Madsen               ,General Practitoner,55.4730628330346,9.12505898179527
"Lægerne Freitag, Nørgaard & Tørnæs                          ",General Practitoner,55.4730628330063,9.12505900947906
Lægerne Jacob Gades Alle v/Mette Berzanth                   ,General Practitoner,55.4730628329772,9.12505903795383
Alment Praktiserende Læge Sigrid Bacher Nielsen             ,General Practitoner,55.4730628329707,9.12505904428156
"Lægerne Jacob Gades Alle v/Freitag, Pedersen & Tørnæs       ",General Practitoner,55.4730628329384,9.12505907592019
Lægerne Jacob Gades Alle v/Sigrid Bacher Nielsen            ,General Practitoner,55.4730628329093,9.12505910439495
Lægerne Jacob Gades Alle v/Birthe Nørby Madsen              ,General Practitoner,55.4730628328883,9.12505912496005
Lægerne i Brande                                            ,General Practitoner,55.9441052805429,9.13049152518651
Lægehuset Line Lyng                                         ,General Practitoner,55.4746753671368,9.13442857335917
alles Lægehus Vejen                                         ,General Practitoner,55.475453468875,9.13497512576526
Læge Sys Melchiors                                          ,General Practitoner,55.4763568982079,9.13747474335933
Vejen Apotek                                                ,Pharmacy,55.4748844380748,9.13800652744526
Lægehuset Fonnesbæk                                         ,General Practitoner,56.1229666839986,9.14330827635273
Lægerne i Stoholm I/S                                       ,General Practitoner,56.4836330816747,9.14487334547972
Lægernes Hus Ikast                                          ,General Practitoner,56.1374464585661,9.14741741415523
Lægerne Frisenborgparken                                    ,General Practitoner,56.1343463961005,9.15022076982686
Ikast Apotek                                                ,Pharmacy,56.1398806042179,9.15754189770552
Moesgaard Medical                                           ,General Practitoner,56.1334292886218,9.16307488054715
Lægehuset Karup                                             ,General Practitoner,56.3082554997,9.17843091411883
Lægerne i Jels                                              ,General Practitoner,55.3561712569412,9.19850228179694
Lægehuset Gesten v/Johannes Bjerre                          ,General Practitoner,55.526647780913,9.2143009986988
Lægeklinikken Vandel                                        ,General Practitoner,55.708366788902,9.21611598207651
Lægehuset i Give                                            ,General Practitoner,55.8416670626601,9.23250562546821
Lægehuset Løgstør                                           ,General Practitoner,56.9665154422158,9.25408493834849
Lægehuset Frederiks                                         ,General Practitoner,56.3391699155449,9.25087063695988
Regionsklinik Fjerritslev                                   ,General Practitoner,57.0856894459894,9.26723427236968
Tinglev Apotek                                              ,Pharmacy,54.9365927473827,9.25723351788129
Lægerne ved Banegården                                      ,General Practitoner,54.936104430323,9.25765228480385
Center Kærshovedgård Sundhedsklinik                         ,General Practitoner,56.0986205492836,9.27597811035786
Lægerne i Ejstrupholm                                       ,General Practitoner,55.9851439901749,9.28574119278799
Lægerne i Vamdrup                                           ,General Practitoner,55.425739590092,9.28678184201039
Seniorlæge Kristian Jepsen                                  ,General Practitoner,54.9918370921271,9.28559992100578
Vojens Apotek                                               ,Pharmacy,55.2460319278789,9.29140930938794
MF-Consult Sommersted                                       ,General Practitoner,55.3191095914826,9.29540584387965
Lægerne i Lunderskov                                        ,General Practitoner,55.4790067200301,9.30250681834547
Lægerne Margrethevej 6                                      ,General Practitoner,55.2474796770398,9.30191053065469
Egtved Apotek                                               ,Pharmacy,55.6196341801208,9.30734378973339
Lægerne i Egtved                                            ,General Practitoner,55.6169971624983,9.31730716542868
Lægehuset Fuglesøen                                         ,General Practitoner,55.2447992264676,9.31586091202565
Farsø Lægehus                                               ,General Practitoner,56.7768153919908,9.33415956868048
Løgstrup Lægehus                                            ,General Practitoner,56.5127693291424,9.33253024980064
Lægerne Nybovej / Annizette Malmberg                        ,General Practitoner,56.7686973598898,9.34093946171664
Lægerne i Thorning                                          ,General Practitoner,56.2873023900044,9.34049951411997
Lægehuset Engesvang                                         ,General Practitoner,56.1692901153946,9.35411393118805
Lægehuset i Rødekro                                         ,General Practitoner,55.0691443099558,9.34658148968027
Lægerne Padborg                                             ,General Practitoner,54.826414491002,9.3619505027847
Bredsten Lægehus                                            ,General Practitoner,55.7018930983918,9.37421866034809
Viborg Løve Apotek                                          ,Pharmacy,56.4303003953305,9.38762633602372
Sygehus Sønderjylland                                       ,Hospital,55.0617629950944,9.37877837375239
Almen Lægeklinik Nørre Snede                                ,General Practitoner,55.965903604878,9.39235016109425
Centrumlægerne Viborg                                       ,General Practitoner,56.4499187807494,9.4006984114448
Læge Lene Hald                                              ,General Practitoner,56.449918780595,9.40069845930114
Læge Ilse Nielsen                                           ,General Practitoner,56.4499187805609,9.40069846984576
Læge Ilse Nielsen                                           ,General Practitoner,56.449918780485,9.40069849336836
